GameID,posteam,InterceptionThrown,Fumble,Touchdown,FieldGoalResult,Penalty.Yards,Yards.Gained,ReturnResult,Sack,PosTeamScore,DefTeamScore,win
2009110103,SEA,0,2,3,1,30,494,1,3,17.0,37.0,0
2009110104,DET,1,0,1,0,32,404,0,2,8.0,19.0,0
2009110104,STL,1,0,2,1,62,419,0,0,19.0,8.0,1
2009110105,GB,0,3,3,2,43,569,0,6,26.0,38.0,0
2009110105,MIN,0,2,5,1,31,548,0,0,38.0,26.0,1
2009110106,IND,0,3,1,4,30,518,0,3,18.0,14.0,1
2009110106,SF,1,2,2,0,58,440,0,4,14.0,18.0,0
2009110107,MIA,0,0,3,1,35,270,2,6,29.0,27.0,1
2009110107,NYJ,0,2,4,2,30,514,1,2,27.0,29.0,0
2009110108,OAK,1,2,1,3,21,342,0,5,16.0,24.0,0
2009110108,SD,1,0,3,1,50,422,0,1,24.0,16.0,1
2009110109,JAC,2,2,2,0,47,526,0,4,13.0,30.0,0
2009110109,TEN,0,0,3,3,0,460,0,0,30.0,13.0,1
2009110110,ARI,5,2,4,0,67,545,1,2,21.0,33.0,0
2009110110,CAR,0,1,3,2,40,448,0,1,33.0,21.0,1
2009110111,NYG,2,2,2,1,40,567,0,2,17.0,40.0,0
2009110111,PHI,0,2,5,2,30,520,0,2,40.0,17.0,1
2009110200,ATL,3,1,4,2,35,614,1,4,26.0,34.0,0
2009110200,NO,1,3,5,0,55,546,1,2,34.0,26.0,1
2009110800,ATL,1,0,3,1,84,439,0,3,30.0,17.0,1
2009110800,WAS,1,0,3,1,58,393,1,5,17.0,30.0,0
2009110801,ARI,1,1,5,2,52,523,0,1,41.0,21.0,1
2009110801,CHI,1,0,3,0,52,670,0,4,21.0,41.0,0
2009110802,BAL,2,0,1,0,64,342,0,4,7.0,17.0,0
2009110802,CIN,0,3,2,1,56,448,0,1,17.0,7.0,1
2009110803,HOU,2,1,2,1,60,507,0,2,17.0,20.0,0
2009110803,IND,2,1,2,2,83,410,0,3,20.0,17.0,1
